,daily_return,volatility,ma5,ma20,rsi,mean_sentiment_raw,mean_sentiment_ma3,mean_sentiment_momentum,sentiment_std_raw,sentiment_count_raw,day_of_week,month,is_month_end
2002-07-01,0.008666666666666822,0.0585386933472403,14.825999999999999,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,7,0
2002-07-02,0.008666666666666822,0.0585386933472403,14.825999999999999,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,7,0
2002-07-03,-0.008592200925313986,0.0585386933472403,14.825999999999999,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,7,0
2002-07-05,0.0,0.0585386933472403,14.825999999999999,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,7,0
2002-07-08,-0.06666666666666665,0.0585386933472403,14.825999999999999,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,7,0
2002-07-09,0.1071428571428572,0.0585386933472403,14.925999999999998,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,7,0
2002-07-10,0.0,0.0585386933472403,15.0,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,7,0
2002-07-11,0.0,0.0585386933472403,15.1,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,3,7,0
2002-07-12,-0.032258064516129004,0.0585386933472403,15.1,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,7,0
2002-07-15,-0.15000000000000002,0.0585386933472403,14.85,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,7,0
2002-07-16,-0.019607843137254943,0.0585386933472403,14.25,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,7,0
2002-07-17,0.0,0.0585386933472403,13.65,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,7,0
2002-07-18,-0.06000000000000005,0.0585386933472403,12.9,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,3,7,0
2002-07-19,-0.1063829787234043,0.0585386933472403,12.0,12.8965,21.00515463917526,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,7,0
2002-07-22,-0.028571428571428692,0.0585386933472403,11.489999999999998,12.8965,20.223325062034746,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,7,0
2002-07-23,0.0,0.0585386933472403,11.03,12.8965,18.915510718789406,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,7,0
2002-07-24,0.02941176470588247,0.0585386933472403,10.629999999999999,12.8965,22.22222222222223,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,7,0
2002-07-25,-0.033333333333333326,0.0585386933472403,10.309999999999999,12.8965,21.301775147929007,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,3,7,0
2002-07-26,0.0,0.0585386933472403,10.239999999999998,12.8965,24.161073825503365,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,7,0
2002-07-29,0.09359605911330049,0.0585386933472403,10.42,12.8965,18.115942028985515,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,7,0
2002-07-30,0.03603603603603611,0.0585386933472403,10.68,12.7215,22.602739726027394,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,7,0
2002-07-31,0.04347826086956519,0.05967722943814564,10.98,12.565000000000001,27.56410256410257,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,7,1
2002-08-01,-0.016666666666666607,0.05969602776482509,11.309999999999999,12.405,28.66666666666667,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,3,8,0
2002-08-02,0.0,0.05969602776482509,11.64,12.245000000000001,40.95238095238096,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,8,0
2002-08-05,0.004237288135593209,0.05825353801190565,11.790000000000001,12.1375,43.56435643564355,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,8,0
2002-08-06,0.012658227848101333,0.05203967085232222,11.89,11.9625,45.192307692307686,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,1,8,0
2002-08-07,0.004166666666666652,0.05209589522037395,11.9,11.790000000000001,53.33333333333334,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,2,8,0
2002-08-08,0.004149377593360981,0.05215091925090223,11.96,11.620000000000001,74.24242424242425,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,3,8,0
2002-08-09,0.004132231404958775,0.05200313344205541,12.03,11.477500000000001,81.96721311475413,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,4,8,0
2002-08-12,0.0,0.04006418333448912,12.09,11.447500000000002,81.96721311475413,0.013858999999999996,0.11038266666666667,0.28957099999999997,0.2753558658754159,2.0,0,8,0
